AENRSTØ;SNØTREA
AEGIKLR;ALGERIK
ELNORSU;LUESNOR
AEILNTU;TAULINE
ADEKNOS;DOKSAEN
AGKORST;SKOGART
AEGILOT;TOGLEIA
BEIKNRT;BENRIKT
ABEGKRT;BERGTAK
ALORSTV;LAVSORT
EILOSTU;UTESILO
ILNRSTØ;TILSNØR
DIKORST;DRITSKO
DEGILOR;GIRODEL
AINRSTÅ;ISTÅRNA
ADLNRSØ;SØRLAND
ADEKRSY;DYRESAK
DEIKSTU;DUESKIT
AEKNORÅ;KANOÅRE
AKLNRTY;LYNKART
EKLNSTY;LYNSTEK
ADEIRSÅ;SIDEÅRA
DEKLNRØ;KNØDLER
EEIKLRU;LEIRUKE
ADGLNOT;TOGLAND
ADIORTU;UROTIDA
ADEIKLM;DAMELIK
AEEILNV;LAIVENE
ADIKMRT;MIDTARK
AEEFKRT;REKEFAT
EIKNSTÅ;ISTÅKEN
EFIKNOS;FONISKE
ADEEIMS;SAMEIDE
AINRSST;SNARSTI
AEFRSTY;SYREFAT
EEGILOT;TOGLEIE
ABEINPT;BEINTAP
BIKLORT;BILKORT
ABDEEIS;IDEBASE
EMRSTUV;VESTMUR
ABDEELT;BLADETE
AEFLNPS;FLAPSEN
EIKLNNR;INNKLER
AEJLNRU;JERNLUA
AEFLNRY;LYNFARE
AEILMSY;MAILYSE
AEJMRST;MARSJET
ADEHNOT;ONDHETA
EKMNRSÅ;SKRÅMEN
AELMSTÅ;SMÅLATE
AELPRSÅ;SÅLEPAR
ABEGHNR;BARHENG
DEIKORØ;KOIEDØR
AILMSTV;LIMSTAV
AELNPRÅ;NÅLEPAR
AMNOSTV;OVNSMAT
ABDORSU;SUBORDA
EIKNRVØ;VINKØER
ABDELNV;AVBLEND
ADILOPR;DIPOLAR
ADEGMTU;GUDEMAT
ADIKNTØ;NØDKITA
DEGNRUV;RUNDVEG
EGIORRT;GRIOTER
DEEFNST;NEDFEST
AADEGNS;NEDSAGA
EKOPSTU;UKEPOST
GIKORSØ;ØKOGRIS
AABEILR;BARLEIA
ABDGLOS;BODSALG
BEKRSUØ;BØRSUKE
ADEKSUY;DAUSYKE
AEHILNV;LINEHAV
ABENPTU;PANTEBU
