CP;PC
CD;CD
CV;CV
CW;WC
COR;COR
CES;SEC
CEU;CUE ECU
CIT;TIC
ACU;CUA
CIS;CIS SIC
CNO;CON
CRU;CRU
CTU;CUT
ABC;ABC
CPU;CUP
BCT;TBC
COX;COX
ACER;ACRE RACE
ACOR;ARCO
ACES;CASE
ACIO;CIAO
ACIT;ACTI TICA
CEIN;NICE
CERU;ECRU
ACOT;TACO
CENT;CENT
ACEL;LECA
ACEP;CAPE PACE
CIOT;CITO
ACST;CAST SCAT
ACHI;CHAI CHIA
CETU;CUET
CORS;SCOR
CELT;CELT
ACHT;CHAT
ACLO;COLA
CEER;CREE
ACIP;PICA
ACKR;RACK
CIST;TICS
ACOP;CAPO
ACHN;NACH
ACHS;CASH
CDEI;CEDI
CILO;COIL LOCI
CRSU;CRUS
ACDI;ACID
CHIN;CHIN INCH
CKOR;ROCK
CLOT;COLT
CLRU;CURL
ACEF;FACE
AACR;RACA
AACI;ACAI
CIKN;NICK
ACEV;AVEC CAVE
CLOU;CLOU
CDEU;DUCE
ACHK;HACK
CHIP;CHIP
COPU;COUP
ACNY;CYAN
CITY;CITY
CDRU;CURD
ACHM;MACH
CELY;LYCE
ACLY;ACYL
ACMP;CAMP
CORV;COVR
CEFH;CHEF
AACP;PACA
CESS;CESS
ABCK;BACK
CEOX;COXE
CERW;CREW
CKPU;PUCK
CCHI;CHIC
ACOX;COXA
CISS;CISS
CORW;CROW
CRUX;CRUX
AACF;FACA
CLOO;COOL LOCO
AACV;CAVA
CTTU;CUTT
CFKU;FUCK
COOP;POCO
CIKK;KICK
ACEIR;ERICA
ACERT;CERAT RACET TRACE
ACENR;ACREN
ACERS;ACRES CASER
CEORT;CORET
ACIRT;TRIAC
ACINR;CAIRN
ACENT;CETAN
ACEST;CASTE
CEIRU;CURIE
ACNOR;RACON
CEORS;SCORE
ACEPR;CAPER PACER PARCE RECAP
ACENS;CASEN
CERST;CREST
ACORS;SCORA
CENOT;CENTO
ACNOT;CANTO
CEHRT;CHERT
ACIST;CISTA
ACELT;ECLAT
ACEHN;NACHE
ACLOR;CALOR CLARO
ACEHS;CASHE
CERSU;CESUR
ACELN;CLEAN
ACOST;COSTA
ACEPT;PACET
ACRSU;ARCUS
ACENP;CAPEN PACEN
ACIKR;CIRKA
ACEMR;CREMA
CENOU;OUNCE
ACHNR;RANCH
CEKOR;ROCKE
CINOT;TONIC
CENTU;CUTEN
CEILN;INCEL
ACEPS;PACES SPACE
ACKOR;ROCKA
CDEOR;CREDO
CELRU;CURLE
CEILS;SLICE
ACSTU;ACTUS
ACHNT;CHANT
ACDOR;CORDA
CEENR;CREEN
CEPRU;CUPER
ACLRU;CURLA
ACDEN;DANCE
ACILS;SLICA
CEIPS;SPICE
ACEFR;FACER
ACEHK;HACEK HACKE
ACILU;LUCIA
ACIKN;NICKA
ACIPS;SPICA
ACLOU;CLOUA
CNOTU;COUNT
CEOPU;COUPE
CISTU;CUTIS
ACDIT;DICTA
CEENO;EOCEN
CIOPT;PICOT
CEMOT;COMTE
COPRS;CORPS
ACOPU;COUPA
COSTU;SCOUT
ACDIS;ASDIC
ACPTU;CAPUT
CEHKO;CHOKE HOCKE
CENPU;CUPEN
ACEFT;FACET
ACEGR;GRACE
AACRT;TRACA
ACHKO;CHOKA
CEEPR;CREPE
CHRSU;CRUSH
ACHPT;PATCH
CEENS;SCENE
ACKNS;SNACK
CHOTU;TOUCH
ACEMP;CAMPE
ACHMR;CHARM
CEORV;COVER COVRE
CEENU;CUENE ECUEN
ACEFS;FACES
CEFIT;FECIT
ACELY;LYCEA
CEEIP;PIECE
CKRTU;TRUCK
ABCEH;BEACH
ABCIN;CABIN
ACERR;CARRE RACER
ACHPS;CHAPS SCHPA
CNORY;CORNY
ACORV;COVRA
CESTY;CYSTE
CDELO;DOLCE
CDORU;DUROC
ACFNR;FRANC
CHIPT;PITCH
ABCNO;BACON
ABCIS;BASIC
ACGOR;CARGO
CDEER;CEDER
ACILM;CLAIM
CLOSU;LOCUS
ACHMO;MACHO
ACCEH;CACHE
AACST;CASTA
CHIPS;CHIPS
ACLPU;CULPA
ACHMT;MATCH
CEENP;PENCE
BCEHO;BOCHE
CEFHI;CHIEF
CGIOR;CORGI
ACDHS;DACHS
CDHIT;DITCH
CCEOS;SECCO
ACHTY;YACHT
CCEHI;CHICE
CEGNO;CONGE
ACERW;CREWA
CDELU;DULCE
ACFST;FACTS
CIMNU;MUCIN
AACKR;RACKA
CKSTU;STUCK
ACETT;TACET
ABCHT;BATCH
BCHOR;BROCH
AACSU;CAUSA
ACGNO;CONGA
CEORX;COXER
CCORS;CROCS
ACDRY;DARCY
ACEGL;GLACE
CDEMO;MEDOC
AACHN;NACHA
AACHS;CASHA
ACCHO;COACH
CHNPU;PUNCH
ACKTY;TACKY
CEITT;TICET
AACDI;ACIDA
AACMR;AMCAR
BCHIT;BITCH
ACCKR;CRACK
ACCDE;DECCA
CDEEU;DEUCE
CDILU;LUCID
ACHLY;CHALY
CNOOR;CORNO CROON
CEOTX;COXET
CORSS;CROSS
AACPS;SPACA
CEGHN;CHENG
CCHIT;CHICT
COORS;CORSO
CENOX;COXEN
CEMNY;CYMEN
CIPSY;SPICY
CEOSX;COXES
ACRUX;CRUXA
CEKLY;CYKEL
CEEFS;FECES
CFHIU;FICHU
CEFKU;FUCKE
AACHK;HACKA
CIINR;RICIN
ACSTT;SCATT
BCHTU;BUTCH
AACDU;CAUDA
CGHIN;CHING
CEERR;CREER
ACFKU;FUCKA
CCHIU;UCHIC
ABCKL;BLACK
ACHTT;CHATT
CEIIL;CILIE
CEIJU;JUICE
CELMY;MYCEL
ACELL;CELLA
ACIIL;CILIA
CEEUV;CUVEE
CDEEM;DECEM
ACFNY;FANCY
AACMP;CAMPA
CLNOO;COLON
AACTV;VACAT
ACJNU;CAJUN
ACMUV;CAVUM
CELLO;CELLO
ACCUY;YUCCA
ACHSW;SCHWA
COOPS;SCOOP
AACCH;CACHA
CEIKK;KICKE
CGKLO;GLOCK
ACIKK;KICKA
AACGH;CHAGA
CHKOO;CHOKO
CCHKU;CHUCK
CHIVY;VICHY
CHIIL;CHILI
CRRUY;CURRY
CCKOY;COCKY
CHILL;CHILL
ACRSÆ;CÆSAR
CEELL;CELLE
CFMOY;COMFY
CKKNO;KNOCK
CFOOU;FUOCO
AACHJ;CHAJA
CIJUY;JUICY
ACRYZ;CRAZY
CHIPP;CHIPP
CIISV;CIVIS
CGIIN;ICING
CLSUU;ULCUS
CHHNU;HUNCH
CLMOØ;CØLOM
CHMSØ;SCHMØ
BBCEU;CUBEB
AAABC;ABACA
CEKWZ;ZWECK
ACEORT;TACOER
ACEIRS;ISRACE
ACENRT;CARNET TRANCE
ACEHIR;CAHIER
ACERST;CASTER TRACES
ACENOT;ACETON TACOEN
ACEHOR;CHOREA
ACEILR;ECLAIR
CEIRST;CISTER
ACELOR;COLAER
ACEIPR;PIERCA
ACEHRT;TACHER
ACEHIT;CHAITE
ACELRT;CLARTE
ACNORT;CONTRA
CEORST;CORTES SCORET
ACIRST;CRISTA
ACEHNR;NACHER
ACINOT;ACTION
ACEHRS;CASHER CHASER
CENORS;CENSOR SCOREN
ACEHIN;CHAIEN CHIAEN
CEILOR;COILER
CEINRU;CURIEN
ACENST;SCATEN
ACIRTU;URTICA
ACDEIR;ACIDER
ACORTU;AUCTOR
CEHINR;CHINER
CEIRSU;CRUISE
CENORU;OUNCER
ACENPR;PARCEN
ACEKRT;RACKET
ACELRS;SCALER
ACIOTU;CAUTIO
