CW;WC
UW;WU
NOW;WON
ATW;TWA
EEW;EWE
AKW;KWA
BEW;WEB
KOW;WOK
BOW;BOW
ADW;WAD
ITW;WIT
APW;WAP
OWW;WOW
EIRW;WIRE
EERW;EWER
EENW;EWEN
ELTW;WELT
ADRW;DRAW
APRW;WRAP
ABIW;BIWA
HOSW;SHOW
APSW;SWAP
ADIW;WADI
DEEW;WEED
CERW;CREW
AGSW;SWAG
EIPW;WIPE
BLOW;BOWL
CORW;CROW
ASWY;YAWS
ENUW;WUEN
DHOW;DHOW
FLOW;FLOW
ATTW;WATT
ALWY;YAWL
HIPW;WHIP
GHIW;WHIG
DOOW;WOOD
BBEW;WEBB
KKOW;WOKK
IIKW;KIWI WIKI
APPW;WAPP
FIIW;WIFI
AERTW;TWAER WATER
AENTW;TWAEN
AESTW;WASTE
EINRW;WIREN
AEKNW;KWAEN
EKORW;WOKER
BEORW;BOWER
AELTW;WELTA
EKNOW;WOKEN
BENOW;BOWEN
ADENW;WADEN
EINTW;WITEN
EESTW;SWEET
EKRTW;TWERK
ADETW;WADET
AENPW;WAPEN
AIKOW;KIOWA
EHOSW;SHOWE
AEFRW;WAFER
BORSW;BROWS
AHOSW;SHOWA
BELOW;BOWLE
ACERW;CREWA
BEERW;WEBER
ABLOW;BOWLA
BEENW;WEBEN
EELTW;WELTE
APRSW;WRAPS
AAORW;WARAO
DEETW;TWEED
EEGNW;WENGE
GLORW;GROWL
AENNW;WANNE
ENNOW;WONEN
GINSW;SWING
HISTW;WHIST
EETTW;TWEET
ENOWW;WOWEN
DEEGW;WEDGE
EOTWW;WOWET
RSTUW;WURST
ACHSW;SCHWA
ISTTW;TWIST
ABBEW;WEBBA
HIPSW;WHIPS
EKKOW;WOKKE
AEPPW;WAPPE
AKKOW;WOKKA
DOOSW;WOODS
EIRRW;WIRER
AAFTW;FATWA
AISWZ;SWAZI
EEENW;EWENE
BBEEW;WEBBE
ALLOW;WOLLA
FLOOW;WOLOF
APSSW;SWAPS
AGUWY;WAGYU
CEKWZ;ZWECK
AAPPW;WAPPA
AQSUW;SQUAW
FFHIW;WHIFF
AENSTW;WASTEN
AEERTW;WATERE
AEENTW;TWAENE
ADENRW;DRAWEN
AEKRTW;TWERKA
BEORSW;BROWSE
DENORW;DOWNER
ABEIRW;BIWAER
ABORSW;BROWSA
EEINRW;WIENER WIRENE
ABEINW;BIWAEN
EHORSW;SHOWER
AEPRSW;SWAPER
ADEIRW;WADIER
AEELSW;WEASEL
ELRSTW;WRESTL
AIKNOW;KIWANO
AENPSW;SWAPEN
ADEINW;WADIEN
AEKLNW;WANKEL
EEKNOW;WOKENE
BEENOW;BOWENE
BELORW;BOWLER
AEGNSW;SWAGEN
BELNOW;BOWLEN
DEINRW;REWIND
EHOSTW;SHOWET
EELRTW;WELTER
EIKNSW;WIENSK
BELOSW;BOWLES
CENORW;CROWEN
AEENPW;PAWNEE
EEKRTW;TWERKE
AEIKLW;WALKIE
EELNTW;WELTEN
AENSWY;YAWSEN
BELOTW;BOWLET
AEEFRW;WAFERE
EELSTW;WELTES
ADLOSW;DOWLAS
EGLORW;GROWLE
AAERTW;WATERA
DEHORW;DHOWER
AGLORW;GROWLA
AELRWY;YAWLER
DEHNOW;DHOWEN
EFLNOW;FLOWEN
EGINSW;SWINGE
AENTTW;WATTEN
AELNWY;YAWLEN
AGINSW;SWINGA
AENNRW;WANNER
CEERTW;CREWET
ENNOTW;NEWTON
EEFLRW;WELFER
ELSTWY;WELTSY
AEGSWY;SEGWAY
EISTTW;TWISTE
DEEGRW;WEDGER
EGHIRW;WHIGER
EHINPW;WHIPEN
EENNOW;WONENE
DEOORW;WOODER
EESTTW;TWEETS
AISTTW;TWISTA
DEEGNW;WEDGEN
EGHINW;WHIGEN
DENOOW;WOODEN
DEGITW;WIDGET
AKSTTW;WATTSK
EKKORW;WOKKER
EFOORW;WOOFER
EIIKRW;KIWIER WIKIER
AEPPRW;WAPPER
AABISW;WASABI
EELTTW;WELTET
EIIKNW;KIWIEN WIKIEN
EKKOSW;WOKKES
AEPPSW;WAPPES
EKKOTW;WOKKET
AEPPTW;WAPPET
ADERRW;DRAWER
ANRUWY;RUNWAY
BBEERW;WEBBER
EHOSSW;SHOWES
EFIIRW;WIFIER
BBEESW;WEBBES
EFIINW;WIFIEN
AIIPTW;WAPITI
BBEETW;WEBBET
HIKSWY;WHISKY
CEORRW;CROWER
HIOSSW;ISSHOW
ABSUWY;SUBWAY
DEEENW;WEEDEN
NNOOTW;WONTON
AHKMOW;MOHAWK
ABIJOW;OJIBWA
AAPTTW;WATTAP
EFLLOW;FELLOW
AACHKW;KWACHA
AAEKMW;WAKAME
AAKNWZ;KWANZA
AAAKRW;ARAWAK
AENNNW;WANNEN
BCOOWY;COWBOY
AAAHLW;HAWALA
AGIMWW;WIGWAM
