ADRW;DRAW
AGSW;SWAG
APSW;SWAP
DEEW;WEED
DOOW;WOOD
GLORW;GROWL
APSSW;SWAPS
AGUWY;WAGYU
DEEGW;WEDGE
DOOSW;WOODS
DENORW;DOWNER
ADENRW;DRAWEN
ADERRW;DRAWER
AEGNSW;SWAGEN
AENPSW;SWAPEN
AEPRSW;SWAPER
EESTTW;TWEETS
AAEKMW;WAKAME
DEEGNW;WEDGEN
DEEGRW;WEDGER
DEEENW;WEEDEN
DENOOW;WOODEN
DEOORW;WOODER
CW;WC
UW;WU
BOW;BOW
EEW;EWE
ATW;TWA
ADW;WAD
APW;WAP
BEW;WEB
ITW;WIT
KOW;WOK
NOW;WON
OWW;WOW
ABIW;BIWA
BLOW;BOWL
CERW;CREW
DHOW;DHOW
EENW;EWEN
EERW;EWER
FLOW;FLOW
IIKW;KIWI WIKI
HOSW;SHOW
ADIW;WADI
APPW;WAPP
ATTW;WATT
BBEW;WEBB
ELTW;WELT
GHIW;WHIG
HIPW;WHIP
EIPW;WIPE
EIRW;WIRE
KKOW;WOKK
APRW;WRAP
ENUW;WUEN
ALWY;YAWL
ASWY;YAWS
BENOW;BOWEN
BEORW;BOWER
ABLOW;BOWLA
BELOW;BOWLE
BORSW;BROWS
ACERW;CREWA
EEENW;EWENE
AAFTW;FATWA
AIKOW;KIOWA
ACHSW;SCHWA
AHOSW;SHOWA
EHOSW;SHOWE
AQSUW;SQUAW
AISWZ;SWAZI
GINSW;SWING
AENTW;TWAEN
AERTW;TWAER WATER
DEETW;TWEED
EETTW;TWEET
EKRTW;TWERK
ISTTW;TWIST
ADENW;WADEN
ADETW;WADET
AEFRW;WAFER
AENPW;WAPEN
AAPPW;WAPPA
AEPPW;WAPPE
AESTW;WASTE
ABBEW;WEBBA
BBEEW;WEBBE
BEENW;WEBEN
BEERW;WEBER
AELTW;WELTA
EELTW;WELTE
EEGNW;WENGE
FFHIW;WHIFF
HIPSW;WHIPS
HISTW;WHIST
EINRW;WIREN
EIRRW;WIRER
EINTW;WITEN
EKNOW;WOKEN
EKORW;WOKER
AKKOW;WOKKA
EKKOW;WOKKE
ENNOW;WONEN
ENOWW;WOWEN
EOTWW;WOWET
APRSW;WRAPS
CEKWZ;ZWECK
AAAKRW;ARAWAK
ABEINW;BIWAEN
ABEIRW;BIWAER
BEENOW;BOWENE
BELNOW;BOWLEN
BELORW;BOWLER
BELOSW;BOWLES
BELOTW;BOWLET
ABORSW;BROWSA
BEORSW;BROWSE
BCOOWY;COWBOY
CEERTW;CREWET
DEHNOW;DHOWEN
DEHORW;DHOWER
ADLOSW;DOWLAS
EFLLOW;FELLOW
EFLNOW;FLOWEN
AAAHLW;HAWALA
HIOSSW;ISSHOW
AIKNOW;KIWANO
EIIKNW;KIWIEN WIKIEN
EIIKRW;KIWIER WIKIER
AACHKW;KWACHA
AAKNWZ;KWANZA
ENNOTW;NEWTON
ABIJOW;OJIBWA
AEENPW;PAWNEE
ANRUWY;RUNWAY
AEGSWY;SEGWAY
EHORSW;SHOWER
EHOSSW;SHOWES
EHOSTW;SHOWET
ABSUWY;SUBWAY
AGINSW;SWINGA
EGINSW;SWINGE
AEENTW;TWAENE
AEKRTW;TWERKA
EEKRTW;TWERKE
AISTTW;TWISTA
EISTTW;TWISTE
ADEINW;WADIEN
ADEIRW;WADIER
AEEFRW;WAFERE
AIIPTW;WAPITI
AEPPRW;WAPPER
AEPPSW;WAPPES
AEPPTW;WAPPET
AABISW;WASABI
AENSTW;WASTEN
AAERTW;WATERA
AEERTW;WATERE
AAPTTW;WATTAP
AENTTW;WATTEN
AKSTTW;WATTSK
AEELSW;WEASEL
BBEERW;WEBBER
BBEESW;WEBBES
BBEETW;WEBBET
EEFLRW;WELFER
EELNTW;WELTEN
EELRTW;WELTER
EELSTW;WELTES
EELTTW;WELTET
ELSTWY;WELTSY
EGHINW;WHIGEN
EGHIRW;WHIGER
EHINPW;WHIPEN
HIKSWY;WHISKY
EEINRW;WIENER WIRENE
EIKNSW;WIENSK
AGIMWW;WIGWAM
EEKNOW;WOKENE
EKKORW;WOKKER
EKKOSW;WOKKES
EKKOTW;WOKKET
EENNOW;WONENE
AELNWY;YAWLEN
AELRWY;YAWLER
AENSWY;YAWSEN
